userID,reviewID,prediction
u77355739,r70788666
u83568220,r23103086
u94195980,r26878597
u46493562,r04712882
u85792055,r42503733
u65292900,r91861187
u41197390,r35799249
u07707387,r04494450
u72015549,r48147292
u45391166,r29155455
u29197139,r25954746
u65450986,r54517618
u70807547,r32120465
u26388793,r00339576
u95461838,r90710278
u66917928,r08125938
u30459958,r00010026
u72740705,r68252554
u83109757,r01997772
u18030910,r98460726
u75176595,r08443189
u10978438,r79398540
u46520972,r35689241
u37217581,r72384349
u90513348,r43226649
u15470478,r05073440
u49420859,r53865209
u68176999,r88206499
u14646087,r24102725
u43663627,r31827727
u51060214,r14335574
u80914432,r72639806
u38197356,r67920610
u24098474,r94628904
u09064070,r38212953
u70069162,r13509544
u80642690,r34651472
u01501475,r64065243
u52743525,r20595545
u78746978,r55489918
u23028360,r24244228
u52556249,r79573725
u78980647,r55865573
u05692843,r04753028
u33160737,r93876815
u11654984,r07077628
u15168906,r11632045
u12081505,r37253582
u87670144,r74799502
u22267801,r65458838
u79289822,r99614320
u33043700,r50568711
u20239644,r85841890
u68133694,r08566051
u38700831,r44874022
u12455365,r29109724
u70514749,r67482346
u38179364,r89718187
u84629457,r38785821
u15343410,r98564229
u49960240,r04108913
u51136442,r34424399
u43313162,r58040294
u39618786,r32203717
u46319645,r21270047
u06474085,r58012976
u33849093,r01245428
u05199785,r45610922
u58514811,r13186571
u87649919,r19814535
u66666260,r14631559
u94795389,r75562161
u14846397,r01178711
u73591855,r49308938
u16503765,r60687135
u84884855,r82185999
u47741793,r92951513
u87658459,r73913228
u85513814,r40806122
u64250012,r81666161
u95448393,r30277441
u77483908,r92004503
u95701010,r22544801
u55667927,r51756162
u08593695,r03622599
u08614428,r49618439
u66917568,r64127862
u31367693,r71071918
u91939750,r37545935
u12760655,r12940012
u69159226,r24447121
u70594086,r02277989
u52996418,r70597542
u42398246,r75286095
u91615153,r74868391
u11236115,r34264280
u10465309,r84307503
u32677415,r04761754
u41377280,r04957742
u70453059,r11861069
u50729297,r86018033
u14612166,r79460833
u93194891,r88763718
u82422854,r24428705
u28942811,r67756180
u16200030,r27798280
u75434611,r40024212
u83061556,r37325125
u83622337,r34608697
u62127134,r85950579
u83366505,r76837786
u64003847,r21929911
u78147576,r59981348
u60889043,r60124772
u81720460,r36222885
u53325464,r71581557
u58755373,r25318754
u94789031,r61249310
u80655163,r07844225
u74997561,r15859495
u10289426,r96317397
u97259492,r94191258
u19997377,r22105766
u28158343,r88203257
u82559674,r48336666
u13906135,r27012206
u56462594,r16199207
u88814336,r84910308
u99820652,r52645877
u81659998,r56420649
u17621536,r95626276
u96427995,r69941842
u35794828,r19482994
u95603698,r30047668
u18816753,r79709405
u77294996,r12863934
u74593458,r46822672
u22434824,r59634544
u11890067,r60123224
u16945202,r02102382
u23610660,r42535343
u09893563,r62776111
u48213846,r96048343
u82725499,r69566303
u42837463,r66638804
u17303239,r57050042
u58121291,r39343333
u64513502,r77497758
u37247920,r63171966
u13589971,r69362801
u44714843,r80895012
u23946458,r40475662
u29469733,r08023209
u35990107,r31107021
u73795663,r47234583
u70119162,r91181808
u16821409,r11120694
u80166632,r44159538
u46777132,r02503951
u41561970,r46708378
u67918788,r93601617
u23982784,r57603063
u44050877,r75919271
u95283423,r87203561
u07943230,r67174300
u02881160,r65961469
u25393753,r63634238
u45039242,r96441036
u65838246,r01237235
u61638711,r79512265
u00219168,r25870668
u00350490,r99463778
u42971408,r70116178
u91182206,r51048743
u90782696,r90267893
u07661593,r99437435
u92088064,r77513206
u38162593,r58205450
u83470888,r29804805
u78393491,r33958632
u15115989,r82006631
u56814027,r30106867
u34380656,r35332122
u04371403,r49130789
u41275240,r73407102
u48924692,r98912488
u23593217,r69474891
u09902033,r73746600
u84643738,r10472440
u01026581,r31430198
u13607628,r27340192
u13196566,r66030751
u33680967,r47101267
u35530413,r44050960
u95896999,r79316069
u26531960,r57214058
u93010157,r28850817
u14162455,r49506053
u34897166,r37758347
u28880104,r83751059
u84558175,r33555153
u89695212,r75236361
u78072377,r84849396
u96170027,r95282838
u95521301,r17077714
u46962940,r58509993
u84336373,r10491681
u20688225,r55168664
u16909392,r33532820
u04215153,r68819949
u54992267,r82714963
u24754553,r41841064
u25483334,r72854637
u18816691,r27042460
u53077655,r98189814
u86671872,r42577975
u42027432,r70682373
u89493796,r82902553
u31354640,r47472664
u85232097,r97342864
u92033612,r89998409
u78834683,r59778695
u54607405,r32664314
u75730266,r01807550
u23757281,r27859612
u37920256,r98826288
u72804214,r86373961
u13024105,r64850271
u41900642,r82961991
u04682517,r51736994
u46382257,r55267568
u66028348,r88903592
u08627847,r50319544
u01048930,r60977392
u39271251,r81539415
u90233076,r59327197
u86438626,r33825343
u61033559,r56139149
u61834051,r54447093
u27414821,r23101653
u26474410,r04046925
u20377791,r66493383
u00461321,r20726621
u57830091,r76159462
u17761261,r21992446
u78385007,r55845351
u49562545,r00831836
u55955380,r42863386
u77814706,r68961658
u03977134,r74682175
u26440624,r16420038
u76236787,r23264675
u45299854,r01555082
u38994477,r01557326
u33115969,r01546647
u24146618,r75035868
u35152739,r24939128
u48974208,r72954486
u77647891,r26876994
u84097747,r60683372
u95182567,r17129686
u34739050,r10632206
u00924042,r52210416
u38693196,r06720035
u68987878,r60039485
u54152410,r76191045
u67230837,r76506631
u00015114,r44949801
u88771377,r76182871
u21907113,r26622764
u43263437,r21449917
u34378849,r85045526
u15335120,r68197096
u83963739,r54425008
u70894886,r96514040
u22203304,r53689142
u80899415,r04648572
u41360217,r24747898
u63098859,r87948056
u02297222,r45153444
u04705638,r87558326
u56009653,r43749539
u56782908,r67572848
u08752528,r63110991
u47189501,r60933954
u58831448,r72398359
u99633137,r28163773
u46971302,r61734885
u25653997,r38327010
u82233568,r74145764
u54483227,r72785151
u86267622,r46404320
u12663661,r91216016
u77494040,r76472204
u48512006,r05987911
u91385230,r04505156
u38851466,r52895042
u99810883,r03023572
u31142922,r35204360
u52123040,r53781189
u72804214,r70115623
u56462594,r92357486
u47932802,r91093846
u43716387,r45728030
u61016442,r95381537
u47101856,r23256574
u80650029,r70307600
u63434681,r38435160
u10385462,r84822443
u25753170,r01052056
u79615061,r59818106
u27801126,r37509951
u93102216,r33090017
u85650250,r97676019
u55480954,r13939530
u72992206,r92973198
u93289911,r35273621
u97178307,r82700681
u26996891,r85890758
u47536982,r49967153
u80079817,r24811998
u61701554,r66545228
u92281624,r74595546
u16636863,r21161164
u85584704,r20579180
u81419923,r22236083
u72056024,r12099200
u37782353,r24936221
u35946057,r78570371
u17136771,r80600965
u01179025,r16706868
u70134522,r90641313
u53755094,r21257236
u09409011,r84714726
u83517977,r12798612
u56053171,r62696099
u64334398,r57090652
u48240583,r22972148
u07372312,r82013869
u09576648,r78027466
u86537369,r23562668
u46248874,r22659232
u30276897,r50513280
u57146295,r50028516
u09797759,r54893765
u58876357,r87459541
u69932655,r14847773
u62394983,r37547961
u82133308,r08867820
u13573783,r91259940
u81084915,r97208130
u69058556,r46494343
u06036380,r44221389
u05259917,r82020686
u70595481,r38730371
u62483000,r92017957
u76830084,r69870942
u26901233,r95356877
u70968838,r93517180
u43019609,r34314645
u66431893,r95844547
u92999562,r63131624
u24970994,r82335379
u82321617,r74274744
u86751198,r44301981
u74531901,r80384664
u90417686,r68983130
u53949213,r03664186
u88318914,r85629331
u64857432,r69122240
u15041540,r08460291
u12125293,r65113577
u31788726,r24076906
u59058732,r94745571
u38444517,r00556273
u02787471,r80023724
u04609407,r93776219
u75172662,r88256866
u50697325,r10550642
u49069102,r17556945
u46054755,r32385582
u41217455,r80616323
u98522061,r77399500
u32578770,r00947526
u44868262,r59481279
u79619446,r99127463
u98626726,r32077825
u09626800,r61984738
u02099176,r83101665
u06948815,r53236744
u63976428,r75077655
u08783599,r88555939
u22521987,r39685849
u99542855,r02142645
u24942993,r70741916
u95367450,r65384571
u49838799,r00895061
u33084397,r61252792
u40248166,r55277083
u93834857,r64716362
u85213675,r50574322
u57146295,r79586859
u02207920,r03018341
u71432341,r52261977
u50876775,r57704061
u07300884,r49909743
u02524818,r43358255
u60982142,r08741210
u22528613,r81270539
u95859691,r76557090
u79543506,r44648224
u66961484,r20473868
u29532334,r65998261
u04988037,r57529549
u34022325,r08450971
u73626145,r06064797
u80678840,r22127630
u54236223,r05567951
u46748040,r16935822
u10842155,r65252703
u24637480,r11770851
u47836956,r93232289
u77248706,r49807564
u05515378,r63316258
u39895961,r66087643
u72135118,r00195130
u85885535,r86135901
u46446863,r77746305
u43961979,r16222282
u92526488,r84598336
u72710101,r85505021
u45906309,r07716454
u15704905,r98301776
u58729486,r97862296
u59334602,r77538016
u06246242,r64430881
u83987602,r60501263
u13672690,r42913958
u58838827,r56898286
u40693950,r81083286
u17226040,r51555205
u01473936,r78587716
u63120994,r34022028
u22382650,r25207483
u64776360,r07897083
u38063654,r73045524
u20262608,r58423068
u71907864,r05858228
u30919512,r33762858
u18707926,r64986554
u92526488,r26698732
u18527105,r56354637
u67362707,r14028739
u44330163,r91969459
u95928069,r61347442
u28673006,r88018028
u23568681,r09890895
u46319645,r13329658
u54853201,r95223279
u61307268,r05238445
u02993634,r55472866
u72899427,r88056535
u94503488,r76583973
u91591554,r35842393
u98895152,r39878201
u95543232,r05518756
u35466511,r66733412
u00731717,r71769678
u51254298,r47661491
u05872344,r30155514
u93633792,r97826723
u24997897,r55842931
u43444649,r99727014
u13543591,r64212553
u40150233,r86889194
u87077316,r43202872
u04530146,r50842176
u40908966,r01955216
u35425525,r98932112
u71472451,r77500108
u01882775,r01504537
u01964873,r24785155
u35769925,r73099098
u88341642,r04947418
u01515604,r06551075
u17745540,r74545962
u51249725,r70022707
u60063588,r20361394
u47462446,r04513907
u03125814,r90213466
u38198183,r33410824
u26696091,r18521073
u32467045,r59885330
u28798096,r35267383
u61057273,r89386017
u21612209,r52162538
u14350187,r68836993
u21325396,r18893098
u16994366,r09124228
u30062982,r27216349
u42045505,r50315211
u61637837,r78538355
u45763677,r45092417
u03815866,r42031118
u84265080,r02273453
u57567735,r33557928
u09092179,r94220610
u94692092,r50970987
u76715935,r26835600
u12373783,r92681577
u64561375,r72164765
u07620245,r88427706
u17608712,r64847049
u03053206,r12083937
u41018417,r67256882
u12202554,r22891386
u08662296,r51042296
u86515624,r98241357
u84005837,r84183673
u33635289,r39606476
u77992742,r65785547
u45996009,r60312040
u40810966,r03371123
u88757483,r56354829
u89294141,r25569066
u38180030,r33189303
u65411322,r26896178
u63049956,r78896145
u98531480,r77166809
u50300595,r39622665
u19995065,r80861405
u27758286,r27211031
u60063588,r36760827
u82532497,r21186507
u21969256,r67782658
u88093091,r94442985
u30468817,r55017199
u39546643,r63712854
u65815578,r83648123
u51904942,r47691541
u03670913,r59224520
u95358727,r88460697
u42091392,r14901293
u65244901,r58192717
u48847764,r89488045
u48362915,r41647139
u59551864,r98575351
u83607210,r31589701
u19180636,r18623345
u60524119,r57454107
u45922248,r44759054
u80596874,r64501793
u15833961,r95970595
u14334693,r24973309
u95778277,r88030361
u01246068,r27580315
u04527538,r18847185
u01919317,r61520012
u96591534,r83618384
u00963351,r23874312
u86775276,r04860581
u10072383,r22417046
u96305379,r08638208
u22510436,r46070725
u49969393,r11369994
u12685485,r11917698
u51029039,r66865665
u14579091,r52725655
u27910182,r85280977
u18937975,r35574399
u17410926,r58427947
u07167568,r66089721
u09555564,r34353169
u02109863,r45469204
u08523384,r20564070
u37647779,r69276070
u80528944,r12560249
u97810151,r24034484
u40615274,r76443851
u62111319,r48923194
u91201510,r43904189
u54015290,r25494895
u39825929,r42112412
u79794262,r35808978
u86190648,r82303744
u33165497,r54325474
u31210328,r86248730
u76303528,r14472489
u43784817,r82821278
u08199492,r18868323
u21951727,r29897477
u22308382,r56267337
u89155824,r01963903
u83307903,r67176178
u14617050,r96188609
u12087423,r75089029
u65778172,r35264130
u97852342,r32022863
u17336444,r45864087
u63065470,r08922724
u98167768,r00807491
u65795467,r44826090
u53663597,r35061608
u15802403,r54801458
u45196492,r79279805
u44369344,r53034331
u26669064,r66122567
u88115230,r14960811
u12283362,r52669945
u43984284,r74813123
u96456782,r70603423
u42187813,r40178559
u35145821,r59521902
u69446749,r26773123
u72853424,r97089870
u31799863,r73839287
u50160779,r74954958
u33844689,r94754404
u59851955,r45422692
u13347105,r61830446
u78521618,r25453994
u43503300,r06508646
u54438388,r48810918
u47570375,r62642972
u15548600,r39686288
u87374542,r28611817
u86927625,r27781605
u28341796,r96955458
u01859802,r79179061
u11911421,r90862915
u98407177,r81068787
u99006746,r87155083
u85519724,r32152254
u40411299,r84411327
u96339827,r76220665
u04279718,r82746992
u70134343,r09694499
u73544038,r31748945
u43141572,r07249519
u64302088,r48862011
u69636009,r82847211
u46211684,r97138471
u54730274,r50589113
u16327776,r46833686
u82515184,r57063149
u30407176,r50250477
u36248160,r98650691
u94881871,r93200094
u34916785,r47344977
u81328353,r80007982
u17945814,r79541903
u62372891,r21809662
u80630676,r08115234
u26893997,r51924003
u15441946,r06747933
u04190779,r32415543
u81919027,r73166430
u95278427,r02473934
u14033853,r94591620
u16597470,r55890485
u84205898,r70657912
u56538025,r14013784
u83278468,r50774710
u28731490,r87090874
u39046899,r76697840
u08493085,r55900832
u82652251,r47351143
u28903570,r04066875
u84258401,r22904025
u26571599,r44559894
u83513240,r06965046
u23588312,r46534508
u64944742,r46916234
u57994058,r78726224
u41595212,r74063292
u33198900,r36979969
u21814778,r62839882
u01030272,r62118408
u72229470,r17639538
u53893733,r30749005
u01468106,r03152167
u59244790,r84187019
u59032568,r19745228
u59268081,r22522128
u66685714,r57652980
u69321611,r00573338
u03326893,r76879871
u87649919,r69945836
u12113665,r70273595
u16488430,r94222323
u82672988,r41837132
u27045454,r72131424
u78328147,r85801722
u47338316,r09337458
u28299930,r33857674
u36994086,r38183378
u06094460,r72323557
u96801750,r00852666
u51817409,r90841882
u96740052,r09587344
u65003889,r72781172
u28535205,r69602763
u43590136,r00534947
u00310514,r89519240
u59855306,r46796036
u51282896,r04900788
u52600065,r54239012
u46060127,r63378689
u55683612,r34886109
u98479365,r94793935
u91851363,r72181050
u97418004,r97021520
u94515628,r01757616
u91697795,r42136843
u94647476,r73155926
u70798788,r02715545
u92379335,r33142405
u86341555,r25484776
u25848530,r17780216
u32481103,r84229995
u82369684,r10127911
u89810078,r66872172
u04493514,r30892279
u34655187,r30653928
u60331535,r18309537
u57363552,r01957904
u80243348,r33922818
u03882005,r53189013
u33185348,r87750967
u43935290,r96001224
u28291410,r97213692
u87000837,r90204222
u46122963,r51907772
u90432571,r25378011
u48968277,r33586474
u40300287,r77676344
u73418508,r30378767
u20227280,r72574391
u07823358,r38533346
u77818953,r48493407
u04652484,r36867756
u11308107,r38583511
u42414366,r43204168
u57819314,r16356099
u41783705,r11811216
u40370741,r30318959
u54484876,r82512358
u30616376,r29774152
u37937287,r27402954
u64141706,r99186151
u36075241,r15903161
u00794452,r95215812
u97162707,r79308437
u48558847,r14383671
u52600065,r40633281
u32627656,r66418283
u58666851,r71898316
u06333561,r75445648
u77012419,r26336024
u20507882,r92996852
u98259264,r61309200
u97068388,r76326235
u04015658,r18616826
u86694346,r39756123
u15445398,r46403535
u57887124,r79590772
u41381050,r85883533
u66982347,r44076888
u37553683,r99661255
u05243445,r82117203
u76729908,r94237127
u26642710,r33576143
u49032154,r82479807
u30468817,r38977530
u75941741,r17035584
u34532774,r00757978
u73539390,r54058326
u11869539,r62684164
u13753816,r23090338
u87165220,r48203079
u29025865,r80403500
u14789717,r01472917
u15039523,r69666860
u77654898,r62358311
u85063498,r37225783
u54672686,r90521208
u22698300,r14617619
u03567659,r28106222
u66085163,r53338148
u55243528,r00020876
u52170263,r23129066
u89683379,r64249653
u10247721,r79789778
u96786308,r13076424
u88095829,r59584925
u15055677,r28141295
u78419294,r67657410
u67281060,r25369052
u44095213,r79406573
u81282364,r19979853
u27866444,r30060949
u65271369,r51380514
u32322421,r98431374
u58880042,r90916293
u18164608,r36940210
u91933479,r34087522
u00817322,r61058125
u79984123,r53448794
u55622960,r97183323
u09237753,r65519639
u94274514,r69724842
u83714149,r97336983
u73189568,r32441839
u28180761,r63171987
u42406512,r32583206
u86965127,r94899208
u22994744,r18084211
u74841372,r80341526
u38144486,r40092393
u05546091,r80513304
u20144616,r03255257
u73029023,r85548937
u88269444,r11421112
u21573241,r27398721
u64135786,r98043946
u78123118,r19809595
u67385338,r14340570
u79675499,r66215917
u02787428,r54864806
u52667000,r30445228
u89999588,r51042541
u23999197,r40709284
u76552042,r30541456
u77693028,r51518968
u98649733,r79779887
u29897790,r87841639
u31657048,r21831898
u34676952,r32481039
u20636368,r40735517
u48532692,r63673042
u19419960,r14363133
u59153429,r97472496
u44002129,r86159781
u58859989,r26610228
u63795028,r65492242
u52377081,r64265457
u68297158,r04179470
u99804044,r64940907
u07277905,r91796909
u51450358,r35751568
u68243902,r83672004
u46425432,r22870612
u13203471,r07688580
u95599294,r62620590
u54215097,r26651660
u03340712,r82467633
u03423567,r37586380
u60601740,r09519913
u48295703,r50043742
u84525568,r54893196
u89576286,r10682768
u46250399,r10291407
u86917144,r05245023
u26251523,r17224887
u93584977,r54025703
u56665876,r92484088
u24268022,r55174238
u22854478,r53155646
u04207394,r58866424
u74798784,r79037592
u89377774,r65163645
u69716125,r56323226
u92614441,r18860717
u33833943,r33302197
u99908440,r16931131
u68631353,r72784713
u65137470,r04865151
u47543568,r58641044
u83873639,r01512491
u99447708,r59978098
u68070600,r35709640
u00032978,r15296177
u43358407,r59354224
u89161051,r39820877
u88354454,r08146701
u32743032,r99638511
u58689829,r16408152
u12241516,r87387688
u55180418,r37489993
u24471248,r69800417
u39851886,r05995700
u04512900,r17257030
u25726167,r60702821
u80912231,r43390461
u81026727,r08389989
u28155564,r55503558
u47520132,r22332454
u67357012,r44726704
u89018385,r37333757
u82979897,r08219726
u48451383,r31093102
u96927412,r08375383
u30266915,r00516254
u60477046,r16554541
u12539379,r95672659
u95886881,r71887013
u38349091,r52157244
u14749393,r19989667
u28512949,r95360835
u61949726,r08584713
u11759196,r03684317
u73072410,r81834657
u92319339,r00256404
u37702899,r12139464
u40617972,r90890711
u30913359,r86241232
u00837340,r64511893
u01680080,r65968635
u10913810,r07084886
u74625348,r73590631
u88771710,r57776498
u91431641,r95828792
u06559408,r66550187
u72073927,r38507358
u19674285,r49729864
u04403702,r39088228
u14433788,r90122404
u34451470,r58277109
u64250950,r47446132
u99019054,r25448874
u46496267,r07955195
u60732147,r76544431
u31374979,r25985548
u65026371,r72923543
u61866305,r38873139
u29964567,r07212973
u20023701,r91632231
u20407124,r06426382
u39192689,r53953968
u62306664,r47528345
u36699597,r58914838
u48063394,r52449968
u90232356,r10201224
u64730718,r20057314
u12840077,r91684168
u98464844,r00169485
u37459658,r25589391
u12416500,r12441071
u57388745,r72529919
u23978220,r15590513
u07188768,r43813720
u10937648,r52503679
u78525851,r50947283
u40941572,r79725527
u11407566,r12372520
u08088480,r84240567
u02057844,r64943174
u99429401,r63698261
u63510609,r57220001
u54250962,r41844292
u54526914,r08341282
u08732173,r90556928
u71291205,r54541717
u33233584,r64116080
u44061808,r14889771
u24036795,r48868110
u12065370,r53165711
u30976097,r35142720
u45550487,r22289176
u39319424,r46965488
u81884905,r88961641
u61073686,r89493015
u82920442,r73726419
u68458079,r07850218
u48143067,r73609087
u57507741,r93153744
u35286587,r50149809
u64642512,r58519147
u33248938,r90939906
u06975834,r70566787
u34081831,r16216593
u29114580,r71839968
u77344036,r76199896
u26036376,r15951907
u01781520,r50512838
u49685352,r01734139
u21749325,r36483106
u83955736,r36864929
u49009152,r73580357
u73025868,r11163935
u89939916,r44936185
u84682849,r73494628
u93460820,r41243008
u62569758,r88045080
u92151295,r27381965
u77183616,r91813055
u26482846,r54219103
u17194490,r13420399
u61998028,r45423166
u37667882,r21999829
u37587545,r93544628
u95701010,r96928315
u36212985,r80292353
u48968096,r37593477
u88074404,r60901826
u78406567,r13400377
u04609254,r71379852
u70019262,r83993105
u94124600,r29350096
u70316605,r85792856
u58095350,r95019834
u08535126,r60394217
u96124112,r54323234
u63251754,r30584060
u91652133,r81605065
u06219921,r79452863
u43273954,r93665034
u09725936,r91189060
u25133647,r14113645
u34853120,r46223256
u34558019,r13633200
u21445595,r92720347
u66291936,r62793182
u20286676,r98642120
u43609182,r97294370
u55286595,r58765815
u47040419,r06999789
u40635238,r34860628
u43246576,r12839048
u14492955,r51728732
u06562986,r55739933
u80583858,r24029297
u15657723,r61293449
u49340652,r62221910
u15472571,r96836401
u77294824,r94945417
u08019250,r35428658
u97958927,r05001061
u08281863,r97496265
u24466510,r97788474
u67271422,r45300169
u75187982,r71904315
u59587360,r14090936
u40968250,r51298936
u43417075,r79719959
u00477426,r39450890
u44519325,r75766770
u19359999,r81405441
u16128066,r99523570
u70094020,r25263912
u42715323,r59909542
u36699597,r18916123
u32444170,r80267872
u22740185,r04689302
u79691276,r98089493
u80961266,r95928101
u70577735,r50650524
u84337037,r00903190
u15213248,r60250361
u82052953,r49528169
u48951000,r46861109
u29399407,r08494345
u77057273,r11334689
u22700944,r58450730
u21050739,r96719934
u40910068,r06118404
u71514372,r15545124
u65743571,r44473038
u67471423,r99307788
u06658764,r84587486
u60129428,r72872034
u19364927,r88915549
u11499009,r66438779
u95513617,r15327656
u18686873,r35927320
u80423107,r13634850
u64669622,r82932054
u12827926,r59717913
u79304223,r28980869
u29523868,r04602474
u77440039,r00231727
u00288389,r68196124
u52832713,r33326540
u02240470,r72128206
u73427512,r72744035
u46825091,r14304790
u17418614,r58532435
u46512500,r56546784
u41918949,r43998766
u15756845,r07584688
u86567328,r72217947
u11383568,r20941784
u39373120,r27672130
u22822818,r36524403
u20892424,r15354266
u20591298,r84130515
u00308699,r68912864
u03935283,r30761374
u88485676,r37355492
u18783413,r55168714
u93388862,r96575074
u96117651,r51496803
u87366750,r50611453
u08598737,r74291002
u69653182,r16033504
u96860166,r25636539
u06087225,r38858743
u69208734,r18367147
u05612958,r46478579
u47583529,r03418010
u78335007,r71798367
u44419586,r67116377
u94654771,r33281206
u80224374,r82910759
u85348582,r13051686
u99431876,r64843864
u83100193,r90250158
u84512816,r03560929
u19680684,r57679346
u64481396,r62897145
u85570337,r13782464
u52171957,r33167123
u05567276,r66829546
u17745540,r36764887
u84013421,r45964986
u19383463,r91533693
u96105012,r10497894
u18627680,r90948699
u90432571,r46260205
u08875738,r70698510
u10528841,r72755657
u63744864,r01286081
u93467805,r33087935
u81743618,r85349802
u21359708,r32461903
u41897040,r61101241
u83872976,r83247017
u65258011,r09425859
u01173785,r62982479
u84509276,r49477673
u76310308,r09031638
u79207203,r42609414
u73297045,r92322757
u98562103,r11212893
u24190338,r10833182
u28775705,r91091059
u10996321,r18687288
u23012317,r02755810
u56366884,r07956497
u59172423,r84001619
u67225531,r13291365
u11670422,r98199760
u23157938,r25767949
u59914094,r19117252
u03469101,r53297908
u96156075,r00273702
u70465949,r47683460
u84013637,r38619465
u17638998,r02907784
u09794867,r98928266
u24892312,r11040337
u52650918,r10246182
u38703301,r67003005
u64967856,r08994721
u72800156,r17395148
u57931420,r53155528
u44019911,r31700742
u08281863,r03065274
u55291042,r18448531
u72375874,r13120583
u72121306,r46645219
u38209167,r04044062
u63920307,r62047938
u24827891,r86852487
u32239376,r36313277
u23914329,r71154187
u76873720,r68296636
u82532497,r42430810
u98472610,r47628987
u78239481,r00672441
u89708155,r60091217
u23514122,r79622057
u99051749,r35568061
u26089951,r43729518
u62134453,r92463943
u54704496,r10651033
u45158420,r92033242
u54238790,r76865991
u15418317,r68987963
u87058141,r67893445
u62767056,r88234152
u62136765,r39484707
u99232486,r50136557
u83011051,r16162145
u48726874,r54973474
u69446361,r68711790
u46503282,r39765449
u04360025,r00641719
u64618016,r42467005
u24165917,r22027671
u56256611,r42741270
u36083353,r50422505
u92137031,r10347248
u84282571,r49966340
u68136988,r95118692
u60458688,r01599398
u85885535,r47046186
u89215333,r16705374
u40411299,r11038146
u93101446,r96814150
u27820661,r47580638
u43722998,r43654464
u96537327,r04867957
u72627647,r36669119
u78809906,r40700635
u35637543,r15442348
u69090727,r94201012
u91573457,r36138738
u09763478,r38777514
u64172421,r06592089
u47134713,r10210829
u02537418,r09216170
u47078466,r70566875
u45434318,r14248780
u63401231,r07306434
u29387896,r48978079
u61898999,r46030177
u77187439,r88417451
u37151374,r70865928
u82631062,r24107572
u53428465,r96953679
u62190856,r86831516
u25759178,r72987207
u23076606,r08557797
u53268378,r06310582
u80864719,r31683563
u15041243,r27190555
u88478795,r48801865
u94899288,r94506645
u98226376,r72789464
u75883825,r34868272
u29184271,r47663264
u39509280,r70634736
u61090058,r54294181
u80611627,r05658666
u88506355,r94395483
u15041540,r63703140
u35147774,r56764848
u21160671,r92579371
u56447438,r98388696
u14994678,r20803488
u84173037,r51425274
u16553835,r98103881
u57975585,r94602988
u72149341,r48155021
u07168154,r97932825
u38194655,r90850957
u59829447,r46991644
u38198183,r04855728
u31799863,r20527756
u83063525,r10659288
u07007678,r20493185
u24877155,r78739218
u38198183,r13870785
u52362399,r01836307
u02470494,r21559467
u49580935,r71176429
u70094020,r38794506
u18266658,r25154536
u64980777,r45725496
u55567748,r44434787
u02271133,r95403579
u61045047,r17918918
u57099250,r49852823
u03882005,r31605093
u45289778,r42235694
u81007089,r10443343
u29745340,r61510269
u42965760,r11034327
u25657774,r01435297
u48889852,r29146380
u89042478,r31680398
u99348654,r03467792
u83156462,r34494727
u05324125,r19532721
u12948400,r72470016
u10445438,r85388567
u08108811,r39359937
u77628758,r54748441
u25237903,r51687771
u45449068,r37660163
u93730334,r70612955
u69580868,r82389686
u84404405,r99157237
u65217515,r06296166
u43357208,r62920293
u72104964,r43744355
u46606778,r22670611
u53820939,r25241946
u07279660,r57136424
u05567357,r84685118
u03722032,r56503475
u54582738,r04441128
u48249335,r42975160
u93756125,r38383395
u29737522,r60971056
u07018911,r94179432
u30352006,r05408779
u97377340,r33004772
u81870210,r18907762
u24110534,r59728457
u05296785,r41508308
u95019932,r53686815
u16700120,r07713086
u51419229,r80141198
u84824758,r44412085
u59722846,r68770532
u25409079,r87154631
u71903570,r56552164
u71672017,r68822337
u33673002,r12895868
u64465560,r20609366
u66674662,r78368364
u31317419,r08863626
u28052333,r41726647
u43227042,r88603181
u06377801,r28631887
u96474712,r70286232
u93913175,r06547108
u41131554,r56558337
u46510138,r76480406
u91299748,r35642634
u84573260,r56698784
u20422775,r94055388
u10702083,r81546176
u62272867,r20388307
u45304639,r61113161
u42430012,r10019184
u23762040,r63123244
u35599324,r36594817
u39127861,r01225472
u65329730,r41324786
u50586798,r07852115
u17152127,r00513927
u37459658,r10031192
u40001404,r98847322
u54086461,r52708931
u55284085,r69218772
u40395960,r96686988
u34940981,r20435468
u87766352,r73690601
u67372555,r08248057
u57925753,r52382156
u83396364,r26809668
u83475103,r69383471
u92030884,r28718517
u28050103,r24498031
u20881703,r92343108
u74523221,r97573061
u09602318,r12852290
u20281798,r46371746
u23946458,r38220307
u68019933,r06444326
u14453004,r55564233
u28436503,r93236775
u73766289,r16561087
u54829370,r59798288
u27023274,r36767646
u34013116,r74872438
u67581034,r27668833
u30886497,r56456354
u14512649,r04824465
u86811420,r39882153
u91222349,r65666482
u72236985,r43590969
u11442798,r90052036
u63561981,r74273120
u46710149,r56176991
u86221920,r49239682
u72242852,r82972919
u37288433,r11483200
u47727356,r39602700
u40810966,r12325898
u42367116,r56591738
u43417430,r46119310
u26469117,r54798798
u54360171,r08425031
u69505098,r96801801
u42166306,r94656253
u81010516,r64308019
u81692469,r95868023
u50311414,r77035288
u80409473,r01970397
u98813053,r86856570
u01213085,r44113231
u18380361,r15307482
u31604464,r60271430
u09670849,r16114187
